id,short_title,long_title,act_number,act_year,enact_date,enforcement_date,jurisdiction,ministry,department,section_count,in_force,unit
delhi-urban-areas-tenant-s-relief-act-1961,"The Delhi (Urban Areas) Tenant's Relief Act, 1961",An Act to provide relief to the tenants of land in the urban areas of the Union territory of Delhi.,30,1961,1961-08-28,1961-08-28,CENTRAL,Ministry of Home Affairs,Department of States,9,1,section
delhi-urban-art-commission-act-1973,"The Delhi Urban Art Commission Act, 1973","An Act to provide for the establishment of the Delhi Urban Art Commission with a view to preserving, developing and maintaining the aesthetic quality of urban and environmental design within Delhi.",1,1974,1974-01-01,1974-05-01,CENTRAL,Ministry of Housing and Urban Affairs,,27,1,section
delimitation-act-2002,"The Delimitation Act, 2002","An Act to provide for the readjustment of the allocation of seats in the House of the People to the States, the total number of seats in the Legislative Assembly of each State, the division of each State and each Union territory having a Legislative Assembly into territorial constituencies for elections to the House of the People and Legislative Assemblies of the States and Union territories and for matters connected therewith.",33,2002,2002-06-03,2002-06-03,CENTRAL,Ministry of Law and Justice,Legislative Department,14,1,section
delivery-books-newspapers-public-libraries-act-1954,"The Delivery of Books and Newspapers (Public Libraries) Act, 1954",An Act to provide for delivery of books to the National Library and other public libraries.,27,1954,1954-05-20,1954-05-20,CENTRAL,Ministry of Culture,,9,1,section
departmental-inquiries-enforcement-attendance-witnesses-production-documents-act,"The Departmental Inquiries (Enforcement of Attendance of Witnesses and Production of Documents) Act, 1972",An Act to provide for the enforcement of attendance of witnesses and production of documents in certain departmental inquiries and for matters connected therewith or incidental thereto.,18,1972,1972-05-31,1972-05-31,CENTRAL,Ministry of Home Affairs,Department of Internal Security,7,1,section
departmentalisation-union-accounts-transfer-personnel-act-1976,"The Departmentalisation of Union Accounts (Transfer of Personnel) Act, 1976","An Act to provide for the transfer of officers serving in the Indian Audit and Accounts Department to any Ministry, Department or office of the Central Government for facilitating the efficient discharge by such Ministry, Department or office of the responsibility in connection with compiling the accounts thereof.",59,1976,1976-04-08,1976-03-01,CENTRAL,Ministry of Finance,Department of Expenditure,3,1,section
deposit-insurance-credit-guarantee-corporation-act-1961,"The Deposit Insurance and Credit Guarantee Corporation Act, 1961",An Act to provide for the establishment of a corporation for the purpose of insurance of deposits and guaranteeing of credit facilities and for other matters connected therewith or incidental thereto.,47,1961,1961-12-07,1962-01-01,CENTRAL,Ministry of Finance,Department of Financial Services,63,1,section
depositories-act-1996,"The Depositories Act, 1996",An Act to provide for regulation of depositories in securities and for matters connected therewith or incidental thereto.,22,1996,1996-08-10,1995-09-20,CENTRAL,Ministry of Finance,Department of Economic Affairs,60,1,section
designs-act-2000,"The Designs Act, 2000",An Act to consolidate and amend the law relating to protection of designs.,16,2000,2000-05-25,2001-05-11,CENTRAL,Ministry of Commerce and Industry,Department of Promotion of Industry and Internal Trade,48,1,section
destruction-records-act-1917,"The Destruction of Records Act, 1917",An Act to consolidate and amend the law providing for the destruction or other disposal of certain documents in the possession or custody of Courts and Revenue and other,5,1917,1917-02-28,1917-02-28,CENTRAL,Ministry of Law and Justice,Legislative Department,6,1,section
destructive-insects-pests-act-1914,"The Destructive Insects and Pests Act, 1914","An act to prevent the introduction into India and the transport from one State to another of any insect, fungus or other pest, which is or may be destructive to crops.",2,1914,1914-02-03,1914-02-03,CENTRAL,Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",11,1,section
destructive-insects-pests-amendment-validation-act-1992,"The Destructive Insects and Pests (Amendment and Validation) Act, 1992.","An Act further to amend the Destructive Insects and Pests Act, 1914.",12,1992,1992-03-31,,CENTRAL,Ministry of Agriculture and Farmers Welfare,"Department of Agriculture, Cooperation and Farmers Welfare",4,1,section
digital-personal-data-protection-act-2023,"The Digital Personal Data Protection Act, 2023.",An Act to provide for the processing of digital personal data in a manner that recognises both the right of individuals to protect their personal data and the need to process such personal data for lawful purposes and for matters connected therewith or incidental thereto.,22,2023,2023-08-11,,CENTRAL,Ministry of Electronics and Information Technology,,44,1,section
diplomatic-consular-officers-oaths-fees-act-1948,"The Diplomatic and Consular Officers (Oaths and Fees) Act, 1948",An Act to provide for the administration of oaths by diplomatic and consular officers and to prescribe the fees leviable in respect of certain of their official duties.,41,1948,1948-09-03,1948-09-03,CENTRAL,Ministry of External Affairs,,8,1,section
diplomatic-consular-officers-oaths-fees-extension-jammu-kashmir,"The Diplomatic and Consular Officers (Oaths and Fees) (Extension to Jammu and Kashmir) Act, 1973","An Act to provide for the extension of the Diplomatic and Consular Officers (Oaths and Fees) Act, 1948 to the State of Jammu and Kashmir.",2,1973,1973-03-13,1973-03-13,CENTRAL,Ministry of External Affairs,,3,1,section
diplomatic-relations-vienna-convention-act-1972,"The Diplomatic Relations (Vienna Convention) Act, 1972","An Act to give effect to the Vienna Convention on Diplomatic Relations, 1961 and to provide for matters connected therewith.",43,1972,1972-08-29,1972-08-29,CENTRAL,Ministry of External Affairs,,11,1,section
direct-tax-vivad-se-vishwas-act-2020,"The Direct Tax Vivad se Vishwas Act, 2020",An Act to provide for resolution of disputed tax and for matters connected therewith or incidental thereto.,3,2020,2020-03-17,,CENTRAL,Ministry of Finance,Department of Revenue,12,1,section
disaster-management-act-2005,"The Disaster Management Act, 2005",An Act to provide for the effective management of disasters and for matters connected therewith or incidental thereto.,53,2005,2005-12-23,2006-07-28,CENTRAL,Ministry of Home Affairs,Department of States,85,1,section
dispositions-property-bombay-validation-act-1947,"The Dispositions of Property (Bombay) Validation Act, 1947.",,54,1947,1948-01-16,,Maharashtra,Govt of Maharashtra,Law and Judiciary Department,4,1,section
dissolution-muslim-marriages-act-1939,"The Dissolution of Muslim Marriages Act, 1939",An Act to consolidate and clarify the provisions of Muslim law relating to suits for dissolution of marriage by women married under Muslim law and to remove doubts as to the effect of the renunciation of Islam by a married Muslim woman on her marriage tie.,8,1939,1939-03-17,1939-03-17,CENTRAL,Ministry of Law and Justice,Legislative Department,6,1,section
district-planning-commitee-act-1999,"District Planning Commitee Act, 1999",,32,1999,1999-05-19,,Uttar Pradesh,,Planning,23,1,section
disturbed-areas-special-courts-act-1976,"The Disturbed Areas (Special Courts) Act, 1976",An Act to provide for the speedy trial of certain offences in certain areas and for matters connected therewith.,77,1976,1976-06-11,1976-08-15,CENTRAL,Ministry of Law and Justice,Department of Justice,10,1,section
divorce-act-1869,"The Divorce Act, 1869",An Act to amend the law relating to Divorce and Matrimonial Causes.�,4,1869,1869-01-26,1869-04-26,CENTRAL,Ministry of Law and Justice,Legislative Department,64,1,section
dma-act-2005,dma act 2005,"Disaster Management Act, 2005",53,2005,2005-12-23,,Uttar Pradesh,,Revenue,2,1,section
dock-workers-regulation-employment-act-1948,"The Dock Workers (Regulation of Employment) Act, 1948",An Act to provide for regulating the employment of dock workers.,9,1948,1948-03-04,1948-03-04,CENTRAL,Ministry of Shipping,,19,1,section
dock-workers-regulation-employment-inapplicability-major-ports-act,"The Dock Workers (Regulation of Employment) (Inapplicability to Major Ports) Act, 1997","An Act to provide for inapplicability of the Dock Workers (Regulation of Employment) Act, 1948 to dock workers of major port trusts and for matters connected therewith or incidental thereto.",31,1997,1997-08-18,1998-01-05,CENTRAL,Ministry of Shipping,,4,1,section
