kind,title,year,jurisdiction,ministry,act,act_title
appendix,"THE UTTAR PRADESH CONSOLIDATION OF HOLDINGS (AMENDMENT) ACT,1955",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH CONSOLIDATION OF HOLDINGS (AMENDMENT) ACT,1956",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH CONSOLIDATION OF HOLDINGS (AMENDMENT) ACT,1957",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH CONSOLIDATION OF HOLDINGS (AMENDMENT) ACT,1958",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH CONSOLIDATION OF HOLDINGS (SECOND AMENDMENT) ACT,1955",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH JOT CHAKBANDI (SANSHODHAN) ADHINIYAM, 1966",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,THE UTTAR PRADESH LAND LAWS (AMENDMENT) ACT 1991,1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH LAND LAWS (AMENDMENT) ACT, 1969",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH LAND LAWS (AMENDMENT) ACT, 1974",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH LAND LAWS (AMENDMENT) ACT, 1975",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH LAND LAWS (AMENDMENT) ACT, 1976",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH LAND LAWS (AMENDMENT) ACT, 1978",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH LAND LAWS (AMENDMENT) ACT, 1982",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,"THE UTTAR PRADESH LAND LAWS (AMENDMENT) ACT, 1986",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,Tabel,1938,Uttar Pradesh,,united-provinces-melas-act-1938,"The United Provinces Melas Act, 1938"
appendix,"UTTAR PRADESH LAND LAWS ( AMENDMENT ) ACT, 1965",1954,Uttar Pradesh,,uttar-pradesh-consolidation-holding-act-1953,"Uttar Pradesh Consolidation of Holding Act, 1953"
appendix,appendix-1,2019,Uttar Pradesh,,uttar-pradesh-state-emblem-prohibition-improper-use-act,"The Uttar Pradesh State Emblem (Prohibition of Improper Use) Act, 2019"
appendix,appendix-2,2019,Uttar Pradesh,,uttar-pradesh-state-emblem-prohibition-improper-use-act,"The Uttar Pradesh State Emblem (Prohibition of Improper Use) Act, 2019"
circular,Circular regarding being notified under Rule 10(4) of Official Language Rule 1976,2018,Andaman and Nicobar Islands,Andaman and Nicobar Administration,,
circular,Circular regarding installing Unicode software in computers of Secretariat,2018,Andaman and Nicobar Islands,Andaman and Nicobar Administration,,
circular,Circular regarding installing Unicode software in computers of other departments of Administration.,2018,Andaman and Nicobar Islands,Andaman and Nicobar Administration,,
circular,Stevedoring_License_Fee,2016,Andaman and Nicobar Islands,Andaman and Nicobar Administration,,
circular,OFFICE MEMORANDUM,2019,Arunachal Pradesh,,,
circular,format of application for establishment of colleges and higher education,2011,Arunachal Pradesh,,,
circular,5 reservations for Disabled people at the time of admission in government educational institutions,2018,Bihar,,,
circular,Bihar Biofuel policy 2023,2023,Bihar,,,
circular,Bihar Biofuel policy 2025,2025,Bihar,,,
circular,Bihar Disability Act make as per Central Disability Act 2016,2021,Bihar,,,
circular,Bihar Ethonal Policy 2021,2021,Bihar,,,
circular,"Bihar Industrial Investment Promotion Act, 2016 Circular 108-20-01-2020",2020,Bihar,,,
circular,"Bihar Industrial Investment Promotion Act, 2016 Circular 1414-08-04-2025",2025,Bihar,,,
circular,"Bihar Industrial Investment Promotion Act, 2016 Circular 1822H-01-09-2016",2016,Bihar,,,
circular,"Bihar Industrial Investment Promotion Act, 2016 Circular 507-20-04-2020",2020,Bihar,,,
circular,"Bihar Industrial Investment Promotion Act, 2016 Circular 883-29-06-2020",2020,Bihar,,,
circular,"Bihar Industrial Investment Promotion Act, 2016-Circular 4571-14-10-2022",2022,Bihar,,,
